Wallabys,Chick fil A,Cheesecake Factory
"It was very good! Ordering was fast and easy and they got food out to us quickly. They had social distancing and wore masks and hand sanitizer was available. The meat was nice and tender, the fries and potatoes were top notch. Well done!","You really can\u0026#39;t go wrong with Chick-fil-A. No one does COVID precautions or runs a drive through better than they do! They had fans, wore bucket hats, and said \u0026#34;my pleasure\u0026#34; like nobody\u0026#39;s business. \u003cbr\u003e\u003cbr\u003eI would like to make a public service announcement that you MUST get a cookies n cream shake at some point in your life. It was absolutely PHENOMENAL. The fries are always hot, the chicken is always tasteful... \u003cbr\u003e\u003cbr\u003eNeed I say more? The only drawback is the mess of a parking lot that this Chick-fil-A finds itself in. They make the best of sharing a lot with Sonic, mini Target, Cubby\u0026#39;s, etc.","Our food was really great as always when we come. \u00a0Our waiter Steven H \u00a0did a fab job! \u00a0Kept us informed and provided \u00a0great service! Good atmosphere despite covid, they did a great job making us feel safe. \u003cbr\u003eLittle tip: After you check in, they request that you wait outside. Plan ahead if it\u0026#39;s cold or raining. \u00a0My only complaint was the music playing was a little too loud and the hostess was a little uptight."
"Best bbq n sides in town! Love the sweet habanero pulled pork, brisket, and lemon chicken with Mac n cheese and side salad \u00a0Excellent curbside service. Order got a little mixed up and they generously made up for it. Greatly appreciate that!","The people at this Chick-fil-A are awesome. It\u0026#39;s raining outside and they are wearing portable tents along with the masks. \u003cbr\u003e\u003cbr\u003eThey were still so polite and efficient! We\u0026#39;re in this together, thanks for being so amazing!","Our food was really great as always when we come. \u00a0Our waiter Steven H \u00a0did a fabulous job! \u00a0Kept us informed and provided \u00a0great service! Good atmosphere despite covid, they did a great job making us feel safe. \u003cbr\u003eLittle tip: After you check in, they request that you wait outside. Plan ahead if it\u0026#39;s cold or raining. \u00a0My only complaint was the music playing was too loud and the hostess was a little uptight."
Best bbq/smokehouse food in town! We love the beef brisket platter. I got the sweet salad on the side this time and loved it! Staff is very friendly as well.,"Typically I would give any Chick-Fil-A a 10/5 for their awesome customer service (and these guys do great with their customer service), but I have had a minor incident happen twice here. I\u0026#39;m not sure if there\u0026#39;s been a moth in my fries or have been served a batch of fries with dirt/rot in it, but it\u0026#39;s happened twice where I\u0026#39;ll bite into my fries without looking and something tastes really, really bad. If they could look into this and make sure the fries they serve aren\u0026#39;t dirty or contaminated, I would give them 10 stars out of 5! (I just want to be able to trust these guys every time i go and not have to examine every single fry before i eat it. Maybe i should anyway). Everything else has been wonderful though!","Love the food, service and especially the lemon drop martinis! \u00a0They were doing everything right to provide social distancing and made it a safe dining atmosphere."
We enjoy wallaby\u0026#39;s a lot. They have good food and great service. Their staff is always friendly. Their food is always cooked perfect and brought to your table after you order and always hot. We have beaver had a single complaint. \u003cbr\u003eWe love their pulled pork and Mac and cheese. Then you add in some of their sauce and it\u0026#39;s perfect!,"Nothing is better than chick fil a. No better service, no better food. I\u0026#39;d eat here ever meal if my wallet and pants allow it",All was well except for when I put on their special request: \u00a0celebrating my son\u0026#39;s birthday and baby with a stroller.\u003cbr\u003e\u003cbr\u003eYou got the note about the stroller but disregard birthday celebration. \u00a0Lol why even ask the customer when you don\u0026#39;t do anything special??\u003cbr\u003eWe still tipped our waiter good and bought cheesecake on the way out. \u00a0 Still loved the food just missed on the cues. \u00a0Could at least greet with a Happy Birthday? Oh well
"First off check in when you get there, they have a treat for you!! \u003cbr\u003e\u003cbr\u003eThis place was so good!! All the food was spot on! We came with a good size group and it was nice to find seating for us all together not crowded.\u003cbr\u003e\u003cbr\u003eThere are many choices so I will be back to try more, but the ribs are definitely going to be a choice again!! Yummy! Also I got a side of ranch for my veggies and they were to die for!!","I like this location and the food. The only problem I see is that it gets extremely crowded around lunch time. You may end up waiting in the drive through for a good half hour. It\u0026#39;s probably worse now during covid, or maybe not since there might be less people working and therefore getting lunch around this location. Great fries, sandwiches, and diet lemonade, as usual!","Weeks and weeks ago, I was feeling incredibly famished from a day of heavy lifting and strenuous activities, I decided that it was time to quench my hunger. I said to myself \u0026#34;Maybe it\u0026#39;s time for The Cheesecake Factory\u0026#34; and went on the website to place an order. Here\u0026#39;s where I made an AWFUL mistake, I ordered the Avocado Egg Roll and burger sliders. I began my journey to 6223 S State St, Murray, UT 84107. I arrived and I got a text asking me what car and make and model I had, I tell them a hilarious funny joke over text and tell them my car\u0026#39;s make and model, my joke is ignored as I get no reply. A worker knocks on my car\u0026#39;s glass and doesn\u0026#39;t even say \u0026#34;Hello how are you Sir!!!!\u0026#34;. They still greeted me so it\u0026#39;s fine, this is really just personal preference \u003cbr\u003e\u003cbr\u003eI arrive home and begin to ear my meal, I immediately feel full of sorrow and pain snd disgust. The Egg Rolls were mediocore and the sliders were that of burger king quality, which to me is below McDonalds. I wouldn\u0026#39;t recommend these dishes but the bread that comes along with the food is great and the fries were good too!"
"We loved Wallaby\u0026#39;s. I like that they have a tri-tip steak option. It was well-cooked too, nice and soft. The brisket was also a good amount of fatty too so I liked it a lot. The paper jack mac is great if you\u0026#39;re into a good kick. The fresh veggies are just that, boiled veggies. Could have been made a little fancier IMO. Overall great food, better than it looks, and warm environment.","I got used to having chick fil a on a weekly basis due to being a student at Byu so after being out of school for a while I craved a good chick fil a sandwich. I got my usual order of a spicy chicken deluxe meal. After bringing it home, the first thing I noticed was that it was not quite as fresh and hot as I was used to. I live very close to the location but by the time I was home the chicken felt lukewarm. Despite this, the flavor of the sandwich was amazing and the fries were crispy and salty as usual.","We go once a year for a birthday. Somehow they were able to reproduce almost the exact same experience they provided to us last year tonight \u003cbr\u003e\u003cbr\u003eOur party of 4 had a reservation and still had to wait 30 minutes to be seated. \u00a0Once seated, we \u00a0asked for a few minutes to look over the menu. \u00a020 minutes later our server came back to take our order. \u00a0I ordered a taco salad with the Avocado on the side. \u00a0Two dishes came out first within a reasonable amount of time. \u00a0Then the 3rd order was served. \u00a0The other diners \u00a0all commented on how good their selections were, and were mostly done eating when our server finally came to check on us and seemed surprised that I had not been served yet. \u00a0Finally a manager brought out my salad with avocado mixed throughout and said that my salad had been served to another table. She offered to remake it but by then everyone else would be done and staring at me eating, so I took the old one and spent a lot of time picking it out. \u00a0The salad was a total disappointment. I won\u0026#39;t order that again. \u00a0\u003cbr\u003e\u003cbr\u003eThey attempted to rectify the issues with a free piece of cheesecake. \u00a0A nice gesture, but not enough to make me pick this restaurant for my upcoming birthday dinner. \u00a0I can only hope the family member who has the birthday today doesn\u0026#39;t pick it again next year."
"3 1/2 out of 5. Local BBQ chain. Large facility with a young and energetic staff that was eager to please. We shared a three meat platter that included Tri-tip, brisket, and lemon chicken. All were somewhere between average and good when accompanied with the spicy BBQ sauce provided on the table. Also tried the raspberry Q sauce, but found it to be too sweet for our taste.The sides of baked beans and pepper jack mac \u0026amp; cheese were exceptional.","Chick Fil A, \u0026#34;RISE AND SHOUT!\u0026#34;\u003cbr\u003eNear the BYU campus, we skipped the hotel\u0026#39;s free breakfast to go experience the yummy CFA Mini\u0026#39;s in Zion!\u003cbr\u003eThe service was quick, the food was scrumptious, and we went for the Splenda lemonade to start our morning. \u00a0\u003cbr\u003eI had barely backed into my curbside delivery spot when the food was on its way out the door. \u003cbr\u003eThank you for making us feel at home with the best breakfast we\u0026#39;ve had in a while","The Cheesecake Factory is pretty much just average.\u003cbr\u003e\u003cbr\u003eThere aren\u0026#39;t many bad things to say about it, but there also aren\u0026#39;t many great things to say about it. \u003cbr\u003e\u003cbr\u003eHere\u0026#39;s what we like: \u003cbr\u003e-The appetizer bread. They give you a few whole wheat pieces and a few sourdough pieces. They are both good! \u003cbr\u003e-The cheesecake. I think homemade cheesecake is much better, but their cheesecake is still good.\u003cbr\u003e-Variety. There\u0026#39;s a lot of variety in their menu. They have various appetizers and entrees, and there is something for everyone on the menu! They also have the \u0026#34;skinnylicious\u0026#34; menu with dishes that aren\u0026#39;t very high in calories.\u003cbr\u003e\u003cbr\u003eHere\u0026#39;s what could be better:\u003cbr\u003e-The prices. $8 for a single piece of cheesecake?! That\u0026#39;s pretty outrageous. Their meals are also pretty pricey. \u003cbr\u003e-The food. The food isn\u0026#39;t bad by any means, but it\u0026#39;s also not going to keep me coming back. If you\u0026#39;re going to charge so much for a meal, it needs to be a dang good meal. \u003cbr\u003e\u003cbr\u003eThe Cheesecake Factory isn\u0026#39;t bad. I like it! There are just other places I would choose to eat instead based on taste and price of food."
"The food is delicious and they have great lunch specials. Also, pretty unique compared to other BBQ places.","I really don\u0026#39;t eat a lot of fast food, but I need to hand it to Chick-fil-A. We took the kids there at their request for a family night. I was instantly impressed with how clean the restaurant was and how nice everyone was.\u003cbr\u003eThe food was really good, much higher quality than what I expected. Everyone was happy. The kids had chicken, macaroni \u0026amp; cheese and fruit. Every detail was covered, down to the placemats for the kids. I had the superfood salad, it\u0026#39;s quite small for a full meal, but it is really really good.\u003cbr\u003eKudos to Chick-fil-A. What a great experience!","It\u0026#39;s ridiculous how long the wait was for this place. If I could give them zero stars I would. My family and I were out on a waiting list and told us we had to wait for 2 hours. We waited and didn\u0026#39;t understand why after two hours they still did not have seating. Their excuse was a big family, who had already finished their meal would not stop talking and leave. My mom is diabetic, and so she almost fainted due to low blood sugar, because they couldn\u0026#39;t accommodate us like they said they would. The Cheese Cake Factory has TERRIBLE SERVICE!! We ended up going to a small local restaurant called Joy Luck in Bountiful. They had our food ready in 20mins! I\u0026#39;m glad our money went to a place much more deserving of it."
"We are visiting from California and wanted to find something yummy to eat without the humongous wait. We found this place through yelp and loved it. The people there are extremely nice, need something, all you have to do is ask and they will bend over backwards to get it for you. The portion sizes are good, and the desserts are ALL yummy.","Ordered a spicy chicken deluxe combo with extra crispy fries. Delicious! I will definitely be asking for extra crispy fries from now on. The only dissatisfaction is that I asked for no ice in my drink, but they still put ice in.","It\u0026#39;s terrible I have to come on and even give 1 star I wish I could leave 0. I normally love cheesecake factory but this location needs new staff. Maddie is very unprofessional and rude she\u0026#39;s a hostess here at this location, We come in yesterday for lunch and my friend has a heart condition and as soon as we come\u003cbr\u003eThrough the door she screamed at her for not having a mask on and wouldn\u0026#39;t let her explain her case told her she cant eat here without one and has to leave. Wouldn\u0026#39;t Even let her explain. Will not be coming back to this location because of Maddie. Then she told me were five minutes late for our reservation so will have to Wait 20 minutes. And she also screamed at me and I had a mask on.I think she\u0026#39;s racist!! I will be going to the the Cheesecake Factory downtown from now on business elsewhere!!! I repeat do not go to this location and save your self go downtown until they get \u00a0Maddie the hostess under control!!!!! She made me and my family and my two-year-old son very uncomfortable she kept staring and pointing and whispering to other workers in there also!!"
"We are visiting from California and wanted to find something yummy to eat without the humongous wait. We found this place through yelp and loved it. The people there are extremely nice, need something, all you have to do is ask and they will bend over backwards to get it for you. The portion sizes are good, and the desserts are ALL yummy. This place was awesome.",This particular experience was rather different than most. Our order taker forgot to ask us for sauce and when we got our food we only received 2 sauce packets when we ordered enough food for a small army. We were missing drinks when we received our food as well. This location constantly gives me trouble but I\u0026#39;m addicted to Chick-fil-a so I guess I\u0026#39;m stuck.,"The cheesecake factory has always been a favorite of mine, I always choose to go there for celebrations. Just always plan to have a little wait before being seated, but its so worth it! The dining area is very classy, and elegant. The have so many different kinds of cheesecake like cookies and creme, and cookie dough. If you go there you have to try the Breaded Macaroni Bites, they have absolutely delicious! There service is always impeccable, and there food is always amazing gourmet food!"
